Model,Best_Threshold,accuracy,precision,recall,F1,AUC
LogisticRegression,0.5000000000000001,0.6017431021625652,0.5164194915254238,0.5164194915254238,0.18580276322058123,0.5964459171927187
RandomForest,0.1,0.5602162565249813,0.5439618644067796,0.5439618644067796,0.17876414273281113,0.5646864216222959
GradientBoosting,0.20000000000000004,0.4278523489932886,0.6991525423728814,0.6991525423728814,0.17699115044247787,0.5647251013848276
